country,2010,2013,2016,2019
Aruba,,,,
Afghanistan,9572580,11128394,12931832,14450224
Angola,9623400,10700189,11882159,13183538
Albania,1225928,1244852,1321380,1324517
Andorra,,,,
Arab World,113795767,124126232,130807320,139029372
United Arab Emirates,6198570,6638849,6703607,6904890
Argentina,18285303,18988880,19726497,20434054
Armenia,1379810,1414215,1373650,1380405
American Samoa,,,,
Antigua and Barbuda,,,,
Australia,11690165,12189841,12722249,13259130
Austria,4276558,4394285,4531193,4559603
Azerbaijan,4454609,4702911,4968676,5073024
Burundi,3775353,4089954,4495933,4975477
Belgium,4887403,4957316,5005505,5061665
Benin,3670008,4013738,4414790,4862455
Burkina Faso,5906179,6246649,6797711,7474581
Bangladesh,56913121,60172814,63517246,69706733
Bulgaria,3416758,3367754,3264697,3283797
Bahrain,714127,747580,816049,977302
"Bahamas, The",194842,205680,216053,225780
Bosnia and Herzegovina,1504624,1418233,1345973,1314959
Belarus,5090057,5105908,5097622,4975430
Belize,139593,156282,168502,184610
Bermuda,,,,
Bolivia,4738094,4875725,5298192,5423333
Brazil,95327604,98990091,102586090,106328664
Barbados,153986,155327,155479,154988
Brunei Darussalam,191117,201135,209610,218000
Bhutan,329449,334462,360030,381742
Botswana,778875,956816,1012912,1107235
Central African Republic,1779784,1780067,1804604,1919063
Canada,18907651,19460672,19858454,20440340
Central Europe and the Baltics,49258171,49298124,49448939,48993388
Switzerland,4449637,4655858,4889545,4971981
Channel Islands,79330,79754,81665,83427
Chile,8077538,8594874,9018217,9533046
China,772249983,781449430,786329395,783194000
Cote d'Ivoire,7015903,7417235,7874546,8583001
Cameroon,8697713,9508480,10403970,11354044
"Congo, Dem. Rep.",23053225,24484734,27015713,29699289
"Congo, Rep.",1732693,1863940,2004097,2173950
Colombia,22773495,24392594,25765419,27249183
Comoros,173315,190298,208939,228643
Cabo Verde,221610,240240,256669,273097
Costa Rica,2133302,2311782,2265659,2392432
Caribbean small states,3093858,3228646,3353306,3453069
Cuba,5126208,5127562,5106031,5088527
Curacao,,,,
Cayman Islands,,,,
Cyprus,585666,593752,603072,618970
Czech Republic,5241405,5323403,5388390,5376592
Germany,42014274,42161170,43182140,43228550
Djibouti,353041,380111,407041,434194
Dominica,,,,
Denmark,2929914,2894622,3024376,3009405
Dominican Republic,3877006,4261776,4749233,4976724
Algeria,11082664,12009870,11899694,12316707
East Asia & Pacific (excluding high income),1083387424,1108287737,1123828999,1133597104
Early-demographic dividend,1136422758,1192303674,1261049795,1330455957
East Asia & Pacific,1208043270,1234876979,1254041272,1265208433
Europe & Central Asia (excluding high income),185286095,189032158,192196449,192433212
Europe & Central Asia,423220156,429443889,436048794,436698751
Ecuador,6735475,7093272,8055089,8671801
"Egypt, Arab Rep.",27451530,29628188,30158022,31964260
Euro area,161399944,162279483,163827993,163672096
Eritrea,1534530,,,
Spain,23527392,23360853,23019668,22734390
Estonia,683966,680849,694637,693759
Ethiopia,39223764,43679655,48523830,53746763
European Union,243575322,245518828,248308791,248537800
Fragile and conflict affected situations,150963524,161378422,173525715,186807282
Finland,2679149,2683520,2688372,2711153
Fiji,375053,367337,352443,359713
France,29836117,30193260,30293589,30316795
Faroe Islands,,,,
"Micronesia, Fed. Sts.",,,,
Gabon,500221,580415,656982,713404
United Kingdom,32020789,32854709,33704852,34280575
Georgia,2014694,2021256,2031649,2011755
Ghana,10446959,11138294,11909682,12844477
Gibraltar,,,,
Guinea,3564383,3845800,4203096,4665340
"Gambia, The",582971,645099,710021,781558
Guinea-Bissau,624749,682109,744667,811397
Equatorial Guinea,359076,413863,473583,532913
Greece,5139750,4982118,4906071,4834237
Grenada,,,,
Greenland,,,,
Guatemala,5452475,5973141,6625156,7246495
Guam,77086,78056,79544,82023
Guyana,284847,300126,313805,324943
High income,577144836,588654895,603447834,611874115
"Hong Kong SAR, China",3656908,3880430,3950024,3946772
Honduras,3340273,3655902,4035355,4376463
Heavily indebted poor countries (HIPC),246476320,267805698,294103707,323772095
Croatia,1913390,1841460,1839114,1790161
Haiti,4162714,4492696,4821507,5151007
Hungary,4299585,4401845,4685202,4669760
IBRD only,2064945172,2122951015,2183880567,2233311468
IDA & IBRD total,2581381710,2679088275,2785414727,2887703015
IDA total,516436537,556137259,601534160,654391547
IDA blend,157210345,171231251,186298523,201274060
Indonesia,115291524,121556116,126258452,133950010
IDA only,359226193,384906008,415235637,453117487
Isle of Man,,,,
India,461934938,472354936,497650374,519469299
Not classified,,,,
Ireland,2275238,2260189,2312400,2357431
"Iran, Islamic Rep.",24180633,24515787,26797189,27358987
Iraq,7314854,8360389,9405990,10378577
Iceland,188675,193203,208234,217371
Israel,3495215,3715048,3955896,4162440
Italy,24432021,25045316,25585208,25507457
Jamaica,1327196,1387685,1461795,1514936
Jordan,1900527,2114287,2425727,2631115
Japan,66662035,65970039,66858484,66800645
Kazakhstan,8717859,8972599,9184068,9262539
Kenya,15716371,17388330,19221464,21190309
Kyrgyz Republic,2447385,2476904,2550368,2654625
Cambodia,8148383,8450213,8762821,9230114
Kiribati,,,,
St. Kitts and Nevis,,,,
"Korea, Rep.",25258956,26383615,27772753,28445506
Kuwait,1656575,2029964,2314951,2435421
Latin America & Caribbean (excluding high income),260273182,273704543,285743899,298456930
Lao PDR,3100594,3342488,3572050,3800051
Lebanon,1677013,2011408,2303970,2414944
Liberia,1250462,1369720,1500022,1639258
Libya,2223544,2324698,2442848,2553671
St. Lucia,88564,93720,97698,100714
Latin America & Caribbean,274081359,288138142,300680668,314026256
Least developed countries: UN classification,334974967,360236736,390198224,427051144
Low income,234869141,253197920,275859368,302353897
Liechtenstein,,,,
Sri Lanka,8274081,8491768,8486042,8647906
Lower middle income,1045436112,1093538590,1152391604,1214421602
Low & middle income,2570741233,2668158920,2774315492,2876632623
Lesotho,879133,884327,922866,963657
Late-demographic dividend,1199121291,1222761452,1237155002,1242011511
Lithuania,1503825,1473135,1481863,1439700
Luxembourg,237899,263192,282573,300538
Latvia,1062925,1022502,1008819,974318
"Macao SAR, China",331683,359071,377784,388620
St. Martin (French part),,,,
Morocco,11518458,11849699,11770797,12047196
Monaco,,,,
Moldova,1240936,1240558,1280111,1241377
Madagascar,10638131,11611874,12630149,13910991
Maldives,171741,212733,246737,278813
Middle East & North Africa,128289654,138049887,145876552,153378633
Mexico,49344235,52652690,54926772,57558589
Marshall Islands,,,,
Middle income,2335872092,2414961001,2498456123,2574278726
North Macedonia,945639,959344,951879,956331
Mali,5617794,6103485,6654954,7352212
Malta,176498,192467,213472,226582
Myanmar,23865872,24526744,24650711,24744320
Middle East & North Africa (excluding high income),103400674,109121298,113917281,119127009
Montenegro,247397,252028,258899,257387
Mongolia,1171426,1243123,1278620,1333084
Northern Mariana Islands,,,,
Mozambique,10530335,11170781,12014293,13237524
Mauritania,954911,1035928,1145809,1258544
Mauritius,569253,588505,600991,607812
Malawi,6032434,6660240,7351397,8156049
Malaysia,12257276,13887410,14863891,15788572
North America,175857772,178291736,182487174,186176297
Namibia,764105,859453,894834,963996
New Caledonia,116919,125124,133190,139264
Niger,6514630,7272068,8169067,9198681
Nigeria,48753690,52794893,57369993,62447234
Nicaragua,2500867,2705098,2891711,3065732
Netherlands,8865394,8987420,9051897,9181373
Norway,2607609,2697615,2769721,2809515
Nepal,14265000,14637052,15328121,16711782
Nauru,,,,
New Zealand,2324565,2393487,2608395,2771233
OECD members,603284455,615938021,632539002,643599277
Oman,1402110,1946599,2464002,2787190
Other small states,11135803,12252649,13219946,14185774
Pakistan,57643676,63410585,69610788,75143667
Panama,1639798,1787775,1910793,2063132
Peru,16046317,16533447,17020625,18818406
Philippines,38588345,41205244,43898340,45049086
Palau,,,,
Papua New Guinea,2175149,2338512,2474167,2640304
Poland,18035953,18282999,18397704,18176456
Pre-demographic dividend,262712549,285755067,313597429,345161759
Puerto Rico,1320976,1241624,1163355,1097861
"Korea, Dem. People’s Rep.",15377704,15803014,16183776,16531513
Portugal,5488764,5297269,5206442,5180909
Paraguay,2890532,3184982,3334662,3530715
West Bank and Gaza,889607,1043132,1198284,1316023
Pacific island small states,780278,798204,812366,854675
Post-demographic dividend,538175351,544119052,553800016,558685883
French Polynesia,111549,114685,116333,117171
Qatar,1401459,1748064,2001570,2129330
Romania,9373256,9173307,8927442,8844178
Russian Federation,75936680,75469647,75037803,72736316
Rwanda,4976024,5386107,5852267,6374891
South Asia,609104586,630742744,668131170,704790166
Saudi Arabia,9844427,11910017,13489724,14628469
Sudan,9358505,10132361,11062742,12064673
Senegal,3497193,3679109,3931498,4328681
Singapore,2920008,3163417,3373386,3408736
Solomon Islands,226208,243283,263808,286190
Sierra Leone,2235774,2322089,2490998,2683618
El Salvador,2531956,2682083,2726933,2884437
San Marino,,,,
Somalia,2871727,3141061,3479836,3846888
Serbia,3066469,3116060,3194932,3168494
Sub-Saharan Africa (excluding high income),329289272,357270440,390497694,428228202
South Sudan,3941668,4315520,4564287,4724150
Sub-Saharan Africa,329289272,357270440,390497694,428228202
Small states,15009939,16279499,17385618,18493519
Sao Tome and Principe,59936,64474,68897,73971
Suriname,194007,204298,211508,219109
Slovak Republic,2683419,2718415,2763640,2736717
Slovenia,1043689,1012454,997430,1007949
Sweden,4944327,5099246,5249021,5434780
Eswatini,318774,336405,357746,380119
Sint Maarten (Dutch part),,,,
Seychelles,,,,
Syrian Arab Republic,5757406,5404372,4902778,4797280
Turks and Caicos Islands,,,,
Chad,4380291,4876327,5435714,6043611
East Asia & Pacific (IDA & IBRD countries),1068009720,1092484723,1107645223,1117065591
Europe & Central Asia (IDA & IBRD countries),205235438,209156616,212433267,212399829
Togo,2889078,3118206,3398385,3697584
Thailand,38935234,39238140,38680833,38917441
Tajikistan,2093556,2256587,2409888,2560157
Turkmenistan,2293709,2437884,2555843,2675573
Latin America & the Caribbean (IDA & IBRD countries),267231626,281355585,293988376,307408241
Timor-Leste,260648,274262,291491,314523
Middle East & North Africa (IDA & IBRD countries),102511068,108078166,112718996,117810986
Tonga,38985,38479,38483,40582
South Asia (IDA & IBRD),609104586,630742744,668131170,704790166
Sub-Saharan Africa (IDA & IBRD countries),329289272,357270440,390497694,428228202
Trinidad and Tobago,655908,669404,671061,669324
Tunisia,3804601,3956095,4021616,4099916
Turkey,25218298,27849926,30860568,33119411
Tuvalu,,,,
Tanzania,21104256,22527844,24543734,27056943
Uganda,11695833,13062215,14726387,16833878
Ukraine,21666236,21540098,20684320,20037572
Upper middle income,1290435979,1321422411,1346064519,1359857123
Uruguay,1711409,1726551,1750438,1774336
United States,156950122,158831064,162628720,165735957
Uzbekistan,12952193,14012086,14896681,15555364
St. Vincent and the Grenadines,54914,56124,57407,58666
"Venezuela, RB",12918204,13584587,13498253,12857391
British Virgin Islands,,,,
Virgin Islands (U.S.),53721,52363,51376,50859
Vietnam,51185007,54174839,55772086,57249411
Vanuatu,102679,111112,119920,129860
World,3147886069,3256813816,3377763325,3488506738
Samoa,37353,37993,37711,38331
Kosovo,,,,
"Yemen, Rep.",5246797,5523262,6183324,6814139
South Africa,18860443,20164666,21768982,23072331
Zambia,5488103,5980615,6667269,7456765
Zimbabwe,6125707,6399061,6702923,7088014
